		{ALL}	GOOD		BAD	
chrysler	7	7	6.26%	0	6.25%
products	36	35	1.36%	1	1.35%
including	53	53	0.93%	0	0.93%
every	426	381	0.13%	45	0.12%
jeep	4	4	10.01%	0	10.00%
except	79	78	0.63%	1	0.63%
the	22501	19248	0.01%	3253	0.01%
'original'	1	1	25.00%	0	25.00%
version	10	10	4.55%	0	4.55%
have	4084	3627	0.02%	457	0.02%
earned	39	39	1.26%	0	1.25%
their	2422	1707	0.03%	715	0.03%
reputation	18	18	2.64%	0	2.63%
as	2563	2231	0.03%	332	0.02%
rolling	13	11	3.58%	2	3.58%
problems	112	107	0.45%	5	0.44%
	14092	11244	0.01%	2848	0.01%
amazing	67	67	0.74%	0	0.74%
that	7148	6358	0.01%	790	0.01%
land	65	61	0.77%	4	0.76%
rover's	1	1	25.00%	0	25.00%
need	672	611	0.08%	61	0.08%
for	7230	4531	0.01%	2699	0.02%
constant	16	16	2.95%	0	2.94%
repairs	12	12	3.85%	0	3.85%
didn't	440	435	0.12%	5	0.11%
keep	374	330	0.14%	44	0.14%
it	6662	5062	0.01%	1600	0.02%
from	1349	1224	0.05%	125	0.04%
your	3813	2502	0.02%	1311	0.03%
great	542	284	0.10%	258	0.11%
list	69	67	0.72%	2	0.72%
also	550	403	0.10%	147	0.10%
new	609	330	0.09%	279	0.10%
or	2994	2138	0.02%	856	0.03%
used	181	176	0.28%	5	0.28%
volkwagens	1	1	25.00%	0	25.00%
are	6479	4384	0.01%	2095	0.02%
notoriously	1	1	25.00%	0	25.00%
unreliable	3	3	12.51%	0	12.50%
money	765	721	0.07%	44	0.07%
pits	2	2	16.67%	0	16.67%
was	2564	2491	0.03%	73	0.02%
some	1020	992	0.06%	28	0.05%
pretty	156	147	0.33%	9	0.32%
ugly	47	44	1.05%	3	1.04%
dooshbaggery	1	1	25.00%	0	25.00%
right	701	680	0.08%	21	0.07%
there	1672	1374	0.04%	298	0.04%
so	2671	1972	0.03%	699	0.03%
many	906	555	0.06%	351	0.07%
good	923	847	0.06%	76	0.06%
samaritans	1	1	25.00%	0	25.00%
out	2185	1346	0.03%	839	0.04%
and	16001	11610	0.01%	4391	0.01%
this	4232	3260	0.02%	972	0.02%
poor	219	217	0.24%	2	0.23%
drunk	306	303	0.17%	3	0.16%
guy	259	237	0.20%	22	0.20%
gets	129	126	0.39%	3	0.39%
bjorn	1	1	25.00%	0	25.00%
buthole	1	1	25.00%	0	25.00%
his	1154	1073	0.05%	81	0.05%
rescue	9	9	5.01%	0	5.00%
me	2055	1201	0.03%	854	0.04%
would	1626	1542	0.04%	84	0.03%
be	3095	2879	0.02%	216	0.02%
crank	3	3	12.51%	0	12.50%
toyotas	2	2	16.67%	0	16.67%
last	282	266	0.19%	16	0.18%
she	855	742	0.07%	113	0.06%
wasn't	137	136	0.37%	1	0.36%
wearing	56	56	0.89%	0	0.88%
panty	2	2	16.67%	0	16.67%
hose	2	1	16.67%	1	16.68%
she's	132	107	0.38%	25	0.38%
just	3072	1969	0.02%	1103	0.03%
a	14997	10152	0.01%	4845	0.01%
little	393	344	0.13%	49	0.13%
girl	94	89	0.53%	5	0.53%
tights	45	45	1.10%	0	1.09%
which	346	314	0.15%	32	0.15%
thick	10	10	4.55%	0	4.55%
come	459	296	0.11%	163	0.12%
in	7106	5933	0.01%	1173	0.01%
colorshade	1	1	25.00%	0	25.00%
under	326	189	0.16%	137	0.17%
rainbow	3	3	12.51%	0	12.50%
to	16572	12073	0.01%	4499	0.01%
match	291	21	0.17%	270	0.20%
with	4043	2735	0.02%	1308	0.02%
an	1806	1119	0.03%	687	0.04%
outfit	2	2	16.67%	0	16.67%
lol	268	255	0.19%	13	0.19%
i	9397	7427	0.01%	1970	0.01%
cannot	125	121	0.41%	4	0.40%
believe	325	314	0.16%	11	0.15%
thatbuthole	1	1	25.00%	0	25.00%
is	9106	6913	0.01%	2193	0.01%
on	3790	2912	0.02%	878	0.02%
instamod	1	1	25.00%	0	25.00%
of	9982	8142	0.01%	1840	0.01%
words	108	106	0.47%	2	0.46%
hope	630	254	0.08%	376	0.10%
can	2769	1333	0.02%	1436	0.04%
still	548	513	0.10%	35	0.09%
type	82	82	0.61%	0	0.60%
dang	10	10	4.55%	0	4.55%
get	2170	1561	0.03%	609	0.03%
away	234	226	0.22%	8	0.21%
chysler	1	1	25.00%	0	25.00%
anything	341	327	0.15%	14	0.15%
german	22	22	2.18%	0	2.17%
british	21	21	2.28%	0	2.27%
got	519	488	0.10%	31	0.10%
won't	146	144	0.35%	2	0.34%
miss	65	50	0.76%	15	0.77%
her	1406	657	0.04%	749	0.05%
at	1771	1640	0.04%	131	0.03%
all	2486	2340	0.03%	146	0.02%
can't	449	431	0.12%	18	0.11%
see	912	733	0.06%	179	0.06%
why	959	769	0.06%	190	0.06%
want	1193	672	0.05%	521	0.06%
show	228	223	0.23%	5	0.22%
off	611	568	0.09%	43	0.08%
body	73	72	0.68%	1	0.68%
shows	65	64	0.77%	1	0.76%
more	2275	1297	0.03%	978	0.04%
than	934	857	0.06%	77	0.06%
enough	344	336	0.15%	8	0.15%
voice	53	51	0.93%	2	0.93%
there's	85	85	0.59%	0	0.58%
say	728	697	0.08%	31	0.07%
jus	4	4	10.01%	0	10.00%
observation	4	4	10.01%	0	10.00%
engineering	6	6	7.15%	0	7.14%
makes	232	223	0.22%	9	0.22%
you	11206	7859	0.01%	3347	0.01%
scratch	4	4	10.01%	0	10.00%
head	115	114	0.44%	1	0.43%
mojo	3	3	12.51%	0	12.50%
what	2441	2282	0.03%	159	0.02%
let's	146	105	0.35%	41	0.35%
pimple	1	1	25.00%	0	25.00%
faced	11	11	4.17%	0	4.17%
20somethingyearol	1	1	25.00%	0	25.00%
d	66	57	0.75%	9	0.75%
never	767	593	0.07%	174	0.07%
had	919	888	0.06%	31	0.06%
real	354	339	0.15%	15	0.14%
job	343	333	0.15%	10	0.15%
welltodo	1	1	25.00%	0	25.00%
family	334	318	0.16%	16	0.15%
stole	14	14	3.34%	0	3.33%
idea	171	168	0.30%	3	0.29%
somebody	59	58	0.84%	1	0.83%
else	307	301	0.17%	6	0.16%
made	420	406	0.13%	14	0.12%
fb	26	26	1.86%	0	1.85%
then	1016	853	0.06%	163	0.05%
tried	57	55	0.87%	2	0.86%
steal	25	25	1.93%	0	1.92%
friend	831	114	0.06%	717	0.09%
who	2343	1590	0.03%	753	0.03%
helped	36	34	1.36%	2	1.35%
him	604	579	0.09%	25	0.08%
start	175	148	0.29%	27	0.29%
up	1426	1350	0.04%	76	0.04%
now	1326	886	0.04%	440	0.05%
he	2051	1919	0.03%	132	0.03%
trying	303	232	0.17%	71	0.17%
public	139	132	0.37%	7	0.36%
by	1130	1066	0.05%	64	0.05%
going	572	545	0.10%	27	0.09%
company	90	85	0.56%	5	0.55%
has	1958	1179	0.03%	779	0.04%
any	873	744	0.06%	129	0.06%
profit	39	39	1.26%	0	1.25%
they	4731	3854	0.02%	877	0.02%
try	1446	207	0.04%	1239	0.06%
monetize	1	1	25.00%	0	25.00%
site	703	45	0.07%	658	0.10%
becomes	23	18	2.09%	5	2.09%
annoying	8	7	5.56%	1	5.56%
one	1521	1473	0.04%	48	0.03%
trick	60	7	0.82%	53	0.85%
tiny	14	14	3.34%	0	3.33%
belly	5	5	8.34%	0	8.33%
fad	4	4	10.01%	0	10.00%
passes	4	3	10.01%	1	10.01%
again	711	309	0.07%	402	0.09%
ask	109	104	0.46%	5	0.46%
found	225	64	0.22%	161	0.25%
movie	98	94	0.51%	4	0.51%
natural	53	51	0.93%	2	0.93%
sleep	39	38	1.26%	1	1.25%
aid	36	36	1.36%	0	1.35%
wish	157	132	0.32%	25	0.32%
minute	23	23	2.09%	0	2.08%
pushed	8	8	5.56%	0	5.56%
speaking	43	35	1.14%	8	1.14%
weakened	1	1	25.00%	0	25.00%
soft	20	20	2.39%	0	2.38%
spoken	15	14	3.13%	1	3.13%
trembling	1	1	25.00%	0	25.00%
changed	60	57	0.83%	3	0.82%
my	3106	1849	0.02%	1257	0.03%
mind	128	121	0.40%	7	0.39%
whisper	1	1	25.00%	0	25.00%
beeeatch	1	1	25.00%	0	25.00%
if	3810	2268	0.02%	1542	0.03%
havent	110	9	0.45%	101	0.48%
started	200	96	0.25%	104	0.27%
reckon	102	1	0.49%	101	0.52%
about	1794	1636	0.04%	158	0.03%
tiresome	104	3	0.48%	101	0.51%
online	603	15	0.08%	588	0.12%
dating	1359	27	0.04%	1332	0.07%
time	879	743	0.06%	136	0.06%
take	1081	586	0.05%	495	0.06%
step	243	39	0.21%	204	0.23%
find	1218	250	0.04%	968	0.07%
like	2171	1753	0.03%	418	0.03%
lots	145	44	0.35%	101	0.37%
baby	252	108	0.20%	144	0.22%
boomers	203	5	0.25%	198	0.28%
facing	114	13	0.44%	101	0.47%
days	230	123	0.22%	107	0.23%
nights	109	8	0.46%	101	0.49%
alone	233	85	0.22%	148	0.24%
first	463	329	0.11%	134	0.12%
dont	430	310	0.12%	120	0.13%
wait	228	124	0.22%	104	0.23%
longer	180	75	0.28%	105	0.30%
join	281	13	0.18%	268	0.21%
seekoomer	73	1	0.68%	72	0.71%
wore	9	8	5.01%	1	5.00%
were	1080	1053	0.05%	27	0.05%
close	81	78	0.62%	3	0.61%
skin	88	85	0.57%	3	0.56%
color	236	171	0.22%	65	0.22%
don't	1577	1526	0.04%	51	0.03%
think	1129	1033	0.05%	96	0.05%
mentioned	38	36	1.29%	2	1.28%
pants	51	50	0.97%	1	0.96%
aaaahhhh	1	1	25.00%	0	25.00%
meant	52	51	0.95%	1	0.94%
spell	38	38	1.29%	0	1.28%
way	831	723	0.07%	108	0.06%
prostitot	1	1	25.00%	0	25.00%
cute	36	34	1.36%	2	1.35%
tot	2	2	16.67%	0	16.67%
son	69	68	0.72%	1	0.71%
we	2476	2229	0.03%	247	0.02%
weren't	40	40	1.23%	0	1.22%
bothered	13	11	3.58%	2	3.58%
politically	14	14	3.34%	0	3.33%
correct	81	77	0.62%	4	0.61%
bullcrap	4	4	10.01%	0	10.00%
alwaysrespected	1	1	25.00%	0	25.00%
oureldersand	1	1	25.00%	0	25.00%
teachers	31	31	1.57%	0	1.56%
whuppin'	1	1	25.00%	0	25.00%
when	1365	1271	0.04%	94	0.04%
home	308	300	0.17%	8	0.16%
addition	17	17	2.79%	0	2.78%
whatever	96	91	0.52%	5	0.52%
school	222	218	0.23%	4	0.22%
everyone	350	335	0.15%	15	0.14%
enjoyed	13	13	3.58%	0	3.57%
competing	3	3	12.51%	0	12.50%
ribbons	1	1	25.00%	0	25.00%
participating	2	2	16.67%	0	16.67%
only	992	911	0.06%	81	0.05%
placed	17	14	2.78%	3	2.78%
no	1880	1821	0.04%	59	0.03%
felt	32	29	1.52%	3	1.52%
bad	457	451	0.12%	6	0.11%
long	387	284	0.14%	103	0.14%
lost	219	199	0.24%	20	0.23%
because	1163	1066	0.05%	97	0.05%
friends	326	193	0.16%	133	0.17%
competitors	1	1	25.00%	0	25.00%
cheered	1	1	25.00%	0	25.00%
them	1564	1299	0.04%	265	0.04%
loved	91	90	0.55%	1	0.54%
cared	18	18	2.64%	0	2.63%
came	107	104	0.47%	3	0.46%
those	667	650	0.08%	17	0.08%
friends'	2	2	16.67%	0	16.67%
parents	171	168	0.30%	3	0.29%
usually	122	53	0.41%	69	0.43%
acted	7	7	6.26%	0	6.25%
surrogates	2	2	16.67%	0	16.67%
kids	358	349	0.15%	9	0.14%
today	219	191	0.23%	28	0.23%
enjoy	65	59	0.77%	6	0.76%
did	746	722	0.08%	24	0.07%
'40s	1	1	25.00%	0	25.00%
'50s	1	1	25.00%	0	25.00%
played	31	31	1.57%	0	1.56%
kinds	21	21	2.28%	0	2.27%
sports	15	15	3.13%	0	3.13%
grounds	7	7	6.26%	0	6.25%
before	428	418	0.13%	10	0.12%
after	615	355	0.09%	260	0.10%
recess	2	2	16.67%	0	16.67%
lunchtime	2	2	16.67%	0	16.67%
even	851	790	0.07%	61	0.06%
weekends	7	6	6.26%	1	6.25%
learned	34	34	1.44%	0	1.43%
how	1534	1161	0.04%	373	0.04%
compete	9	9	5.01%	0	5.00%
fairly	14	13	3.34%	1	3.34%
win	62	62	0.80%	0	0.79%
lose	202	73	0.25%	129	0.27%
settle	11	10	4.17%	1	4.17%
our	1038	939	0.06%	99	0.05%
disagreements	1	1	25.00%	0	25.00%
most	524	489	0.10%	35	0.10%
times	182	171	0.28%	11	0.28%
peacefully	4	4	10.01%	0	10.00%
sometimes	81	79	0.62%	2	0.61%
not	3888	3479	0.02%	409	0.02%
but	2382	2284	0.03%	98	0.02%
dared	1	1	25.00%	0	25.00%
fight	63	62	0.79%	1	0.78%
dirty	19	19	2.51%	0	2.50%
said	481	458	0.11%	23	0.11%
quit	105	98	0.48%	7	0.47%
over	1034	719	0.05%	315	0.06%
shook	5	5	8.34%	0	8.33%
hands	66	64	0.75%	2	0.75%
