if	1387	1011	376	50.55%	18.82%	72.87%	27.13%	72.87%	27.13%	
you	3747	2515	1232	125.73%	61.60%	67.12%	32.88%	67.12%	32.88%	
haven’t﻿	85	85	0	4.78%	0.58%	99.42%	0.58%	99.42%	0.58%	
started	101	86	15	4.75%	1.23%	84.80%	15.20%	84.80%	15.20%	
to	4955	2848	2107	142.38%	105.34%	57.48%	42.52%	57.48%	42.52%	
reckon	85	85	0	4.78%	0.58%	99.42%	0.58%	99.42%	0.58%	
about	395	134	261	6.81%	13.14%	33.96%	66.04%	33.96%	66.04%	
tiresome	85	85	0	4.78%	0.58%	99.42%	0.58%	99.42%	0.58%	
online	467	466	1	23.36%	0.16%	99.68%	0.32%	99.68%	0.32%	
dating	974	968	6	48.40%	0.35%	99.33%	0.67%	99.33%	0.67%	
this	1177	588	589	29.42%	29.47%	49.96%	50.04%	49.96%	50.04%	
is	3027	1730	1297	86.49%	64.85%	57.15%	42.85%	57.15%	42.85%	
the	5885	2190	3695	109.49%	184.73%	37.22%	62.78%	37.22%	62.78%	
time	224	111	113	5.75%	5.85%	49.56%	50.44%	49.56%	50.44%	
take	491	374	117	18.76%	5.94%	76.12%	23.88%	76.12%	23.88%	
step	175	171	4	8.79%	0.48%	97.44%	2.56%	97.44%	2.56%	
find	649	606	43	30.33%	2.22%	93.31%	6.69%	93.31%	6.69%	
like	710	364	346	18.24%	17.35%	51.27%	48.73%	51.27%	48.73%	
there	489	247	242	12.43%	12.18%	50.51%	49.49%	50.51%	49.49%	
are	2297	1542	755	77.09%	37.76%	67.12%	32.88%	67.12%	32.88%	
lots	94	85	9	4.73%	0.97%	90.00%	10.00%	90.00%	10.00%	
of	2577	1177	1400	58.85%	69.99%	45.67%	54.33%	45.67%	54.33%	
baby	137	125	12	6.57%	0.96%	90.94%	9.06%	90.94%	9.06%	
boomers	176	176	0	9.03%	0.28%	99.72%	0.28%	99.72%	0.28%	
who	858	583	275	29.17%	13.79%	67.93%	32.07%	67.93%	32.07%	
facing	88	85	3	4.76%	0.71%	96.07%	3.93%	96.07%	3.93%	
so	796	474	322	23.73%	16.14%	59.54%	40.46%	59.54%	40.46%	
many	380	303	77	15.24%	3.97%	79.66%	20.34%	79.66%	20.34%	
days	106	87	19	4.78%	1.41%	81.78%	18.22%	81.78%	18.22%	
and	5062	3014	2048	150.68%	102.39%	59.54%	40.46%	59.54%	40.46%	
nights	85	85	0	4.78%	0.58%	99.42%	0.58%	99.42%	0.58%	
alone	147	130	17	6.79%	1.18%	88.18%	11.82%	88.18%	11.82%	
that	1610	596	1014	29.81%	50.70%	37.03%	62.97%	37.03%	62.97%	
first	175	114	61	5.95%	3.32%	65.06%	34.94%	65.06%	34.94%	
now	510	349	161	17.51%	8.13%	68.40%	31.60%	68.40%	31.60%	
don’t	86	86	0	4.83%	0.57%	99.43%	0.57%	99.43%	0.57%	
wait	112	88	24	4.80%	1.63%	78.32%	21.68%	78.32%	21.68%	
any	250	106	144	5.48%	7.37%	42.43%	57.57%	42.43%	57.57%	
longer	101	88	13	4.85%	1.13%	86.76%	13.24%	86.76%	13.24%	
try	863	821	42	41.06%	2.16%	95.08%	4.92%	95.08%	4.92%	
