if	3716	2755	961	55.10%	19.23%	74.13%	25.87%	74.13%	25.87%	
you	9151	5794	3357	115.87%	67.14%	63.31%	36.69%	63.31%	36.69%	
haven’t﻿	118	117	1	2.74%	0.44%	98.74%	1.26%	98.74%	1.26%	
started	159	124	35	2.78%	1.01%	77.81%	22.19%	77.81%	22.19%	
to	12452	7275	5177	145.49%	103.54%	58.42%	41.58%	58.42%	41.58%	
reckon	118	117	1	2.74%	0.44%	98.74%	1.26%	98.74%	1.26%	
about	988	327	661	6.58%	13.26%	33.11%	66.89%	33.11%	66.89%	
tiresome	119	117	2	2.74%	0.46%	97.92%	2.08%	97.92%	2.08%	
online	705	700	5	14.05%	0.17%	99.22%	0.78%	99.22%	0.78%	
dating	2279	2269	10	45.38%	0.22%	99.54%	0.46%	99.54%	0.46%	
this	3287	1830	1457	36.60%	29.15%	55.67%	44.33%	55.67%	44.33%	
is	7049	4136	2913	82.72%	58.26%	58.67%	41.33%	58.67%	41.33%	
the	14523	6033	8490	120.66%	169.79%	41.54%	58.46%	41.54%	58.46%	
time	514	193	321	3.95%	6.50%	37.57%	62.43%	37.57%	62.43%	
take	1192	905	287	18.13%	5.78%	75.90%	24.10%	75.90%	24.10%	
step	252	237	15	4.92%	0.50%	93.87%	6.13%	93.87%	6.13%	
find	1598	1501	97	30.03%	1.97%	93.90%	6.10%	93.90%	6.10%	
like	1629	802	827	16.06%	16.56%	49.23%	50.77%	49.23%	50.77%	
there	1067	487	580	9.78%	11.64%	45.65%	54.35%	45.65%	54.35%	
are	5889	4007	1882	80.13%	37.64%	68.04%	31.96%	68.04%	31.96%	
lots	140	118	22	2.70%	0.79%	84.04%	15.96%	84.04%	15.96%	
of	6771	3304	3467	66.08%	69.34%	48.80%	51.20%	48.80%	51.20%	
baby	204	168	36	3.59%	0.96%	82.20%	17.80%	82.20%	17.80%	
boomers	223	222	1	4.64%	0.24%	99.33%	0.67%	99.33%	0.67%	
who	2407	1687	720	33.75%	14.41%	70.08%	29.92%	70.08%	29.92%	
facing	125	118	7	2.74%	0.54%	94.05%	5.95%	94.05%	5.95%	
so	2274	1431	843	28.63%	16.87%	62.92%	37.08%	62.92%	37.08%	
many	754	527	227	10.59%	4.60%	69.87%	30.13%	69.87%	30.13%	
days	186	138	48	3.01%	1.22%	74.06%	25.94%	74.06%	25.94%	
and	12650	7586	5064	151.71%	101.28%	59.97%	40.03%	59.97%	40.03%	
nights	119	117	2	2.74%	0.46%	97.92%	2.08%	97.92%	2.08%	
alone	249	212	37	4.42%	0.94%	85.00%	15.00%	85.00%	15.00%	
that	4046	1336	2710	26.73%	54.20%	33.02%	66.98%	33.02%	66.98%	
first	286	160	126	3.36%	2.69%	55.92%	44.08%	55.92%	44.08%	
now	1021	632	389	12.68%	7.82%	61.89%	38.11%	61.89%	38.11%	
don’t	123	120	3	2.78%	0.46%	97.18%	2.82%	97.18%	2.82%	
wait	178	123	55	2.73%	1.37%	68.99%	31.01%	68.99%	31.01%	
any	528	179	349	3.67%	7.06%	33.93%	66.07%	33.93%	66.07%	
longer	159	121	38	2.72%	1.07%	75.94%	24.06%	75.94%	24.06%	
try	2427	2323	104	46.46%	2.10%	95.70%	4.30%	95.70%	4.30%	
join	553	546	7	10.99%	0.23%	98.65%	1.35%	98.65%	1.35%	
♥	686	684	2	13.73%	0.11%	99.64%	0.36%	99.64%	0.36%	
s	375	254	121	5.20%	2.55%	67.69%	32.31%	67.69%	32.31%	
e	1623	1594	29	31.89%	0.61%	98.18%	1.82%	98.18%	1.82%	
kβoomer	7	6	1	6.36%	6.27%	81.25%	18.75%	81.25%	18.75%	
hey	76	14	62	0.93%	1.87%	18.83%	81.17%	18.83%	81.17%	
mikey	26	5	21	1.95%	2.26%	20.37%	79.63%	20.37%	79.63%	
did	355	63	292	1.40%	5.96%	17.84%	82.16%	17.84%	82.16%	
know	620	185	435	3.77%	8.77%	29.87%	70.13%	29.87%	70.13%	
when	776	164	612	3.34%	12.29%	21.17%	78.83%	21.17%	78.83%	
someone	1428	1203	225	24.08%	4.53%	84.22%	15.78%	84.22%	15.78%	
says	89	12	77	0.79%	2.08%	13.89%	86.11%	13.89%	86.11%	
i	8048	4817	3231	96.33%	64.62%	59.85%	40.15%	59.85%	40.15%	
stand	49	11	38	1.22%	1.74%	23.00%	77.00%	23.00%	77.00%	
corrected	4	1	3	10.02%	10.05%	30.00%	70.00%	30.00%	70.00%	
it	4804	2686	2118	53.72%	42.36%	55.91%	44.09%	55.91%	44.09%	
means	94	16	78	0.84%	2.07%	17.37%	82.63%	17.37%	82.63%	
they	3529	1832	1697	36.64%	33.94%	51.91%	48.09%	51.91%	48.09%	
admitting	2	1	1	16.68%	16.68%	50.00%	50.00%	50.00%	50.00%	
were	511	60	451	1.30%	9.10%	11.82%	88.18%	11.82%	88.18%	
wrong	135	30	105	0.96%	2.45%	22.43%	77.57%	22.43%	77.57%	
don't	892	224	668	4.53%	13.40%	25.14%	74.86%	25.14%	74.86%	
believe	205	62	143	1.48%	3.09%	30.34%	69.66%	30.34%	69.66%	
me	2163	1606	557	32.13%	11.16%	74.24%	25.76%	74.24%	25.76%	
which	235	79	156	1.79%	3.32%	33.69%	66.31%	33.69%	66.31%	
course	72	9	63	0.86%	1.93%	13.01%	86.99%	13.01%	86.99%	
dare	13	1	12	3.59%	3.79%	10.71%	89.29%	10.71%	89.29%	
look	258	52	206	1.23%	4.30%	20.27%	79.73%	20.27%	79.73%	
up	787	175	612	3.56%	12.29%	22.27%	77.73%	22.27%	77.73%	
or	2137	1227	910	24.55%	18.21%	57.41%	42.59%	57.41%	42.59%	
ask	57	11	46	1.08%	1.77%	19.83%	80.17%	19.83%	80.17%	
maybe	905	757	148	15.18%	3.01%	83.61%	16.39%	83.61%	16.39%	
could	382	105	277	2.23%	5.66%	27.55%	72.45%	27.55%	72.45%	
gayslinger	3	1	2	12.52%	12.53%	37.50%	62.50%	37.50%	62.50%	
he's	81	15	66	0.91%	1.91%	18.90%	81.10%	18.90%	81.10%	
a	13401	8896	4505	177.91%	90.10%	66.38%	33.62%	66.38%	33.62%	
pretty	132	64	68	1.65%	1.73%	48.50%	51.50%	48.50%	51.50%	
smart	52	9	43	1.12%	1.79%	17.92%	82.08%	17.92%	82.08%	
guy	450	345	105	7.00%	2.21%	76.61%	23.39%	76.61%	23.39%	
might	122	27	95	0.94%	2.29%	22.36%	77.64%	22.36%	77.64%	
say	389	69	320	1.50%	6.51%	17.82%	82.18%	17.82%	82.18%	
correct	39	6	33	1.37%	1.89%	16.25%	83.75%	16.25%	83.75%	
maintaining	3	1	2	12.52%	12.53%	37.50%	62.50%	37.50%	62.50%	
your	2972	1848	1124	36.96%	22.49%	62.18%	37.82%	62.18%	37.82%	
opinion	37	8	29	1.47%	1.88%	22.37%	77.63%	22.37%	77.63%	
after	638	485	153	9.76%	3.13%	75.98%	24.02%	75.98%	24.02%	
someones'	2	1	1	16.68%	16.68%	50.00%	50.00%	50.00%	50.00%	
rebuttal	2	1	1	16.68%	16.68%	50.00%	50.00%	50.00%	50.00%	
it'd	2	1	1	16.68%	16.68%	50.00%	50.00%	50.00%	50.00%	
be	1733	446	1287	8.94%	25.75%	25.75%	74.25%	25.75%	74.25%	
kinda	16	2	14	2.98%	3.20%	14.71%	85.29%	14.71%	85.29%	
different	74	18	56	1.02%	1.77%	24.67%	75.33%	24.67%	75.33%	
but	1324	332	992	6.67%	19.86%	25.09%	74.91%	25.09%	74.91%	
more	2021	1411	610	28.23%	12.22%	69.81%	30.19%	69.81%	30.19%	
accurate	9	1	8	5.02%	5.14%	15.00%	85.00%	15.00%	85.00%	
statement	22	6	16	2.29%	2.48%	28.26%	71.74%	28.26%	71.74%	
express	6	3	3	7.19%	7.19%	50.00%	50.00%	50.00%	50.00%	
thugs	22	6	16	2.29%	2.48%	28.26%	71.74%	28.26%	71.74%	
do	1038	210	828	4.24%	16.59%	20.26%	79.74%	20.26%	79.74%	
write	42	7	35	1.30%	1.85%	17.44%	82.56%	17.44%	82.56%	
rules	24	4	20	2.08%	2.38%	18.00%	82.00%	18.00%	82.00%	
for	7533	5556	1977	111.11%	39.54%	73.75%	26.25%	73.75%	26.25%	
grammar	12	7	5	3.98%	3.94%	57.69%	42.31%	57.69%	42.31%	
spelling	23	12	11	2.31%	2.29%	52.08%	47.92%	52.08%	47.92%	
definitions	1	1	0	25.01%	25.00%	75.00%	25.00%	75.00%	25.00%	
words	62	13	49	1.05%	1.76%	21.43%	78.57%	21.43%	78.57%	
i'm	737	445	292	8.96%	5.90%	60.37%	39.63%	60.37%	39.63%	
probably	200	88	112	2.00%	2.48%	44.03%	55.97%	44.03%	55.97%	
again	831	697	134	13.98%	2.74%	83.83%	16.17%	83.83%	16.17%	
really	392	126	266	2.64%	5.43%	32.19%	67.81%	32.19%	67.81%	
my	3078	2261	817	45.22%	16.35%	73.45%	26.55%	73.45%	26.55%	
best	3086	2989	97	59.78%	1.96%	96.84%	3.16%	96.84%	3.16%	
friend	1424	1368	56	27.38%	1.15%	96.04%	3.96%	96.04%	3.96%	
has	1968	1468	500	29.37%	10.02%	74.58%	25.42%	74.58%	25.42%	
just	2568	1713	855	34.27%	17.11%	66.70%	33.30%	66.70%	33.30%	
announced	1349	1343	6	26.88%	0.16%	99.52%	0.48%	99.52%	0.48%	
her	1787	1437	350	28.75%	7.02%	80.40%	19.60%	80.40%	19.60%	
wedding	1327	1325	2	26.52%	0.08%	99.81%	0.19%	99.81%	0.19%	
with	3563	2414	1149	48.28%	22.99%	67.75%	32.25%	67.75%	32.25%	
an	1687	1185	502	23.72%	10.06%	70.23%	29.77%	70.23%	29.77%	
older	4903	4887	16	97.73%	0.33%	99.66%	0.34%	99.66%	0.34%	
successful	2827	2817	10	56.34%	0.22%	99.63%	0.37%	99.63%	0.37%	
man	1478	1346	132	26.94%	2.67%	91.04%	8.96%	91.04%	8.96%	
met	1325	1315	10	26.32%	0.24%	99.21%	0.79%	99.21%	0.79%	
via	928	923	5	18.49%	0.15%	99.41%	0.59%	99.41%	0.59%	
ś	486	486	0	9.80%	0.10%	99.90%	0.10%	99.90%	0.10%	
ē	894	894	0	17.92%	0.06%	99.94%	0.06%	99.94%	0.06%	
k	757	740	17	14.85%	0.41%	97.69%	2.31%	97.69%	2.31%	
n	823	801	22	16.06%	0.50%	97.27%	2.73%	97.27%	2.73%	
g	1070	1054	16	21.11%	0.37%	98.46%	1.54%	98.46%	1.54%	
ŕ	719	719	0	14.43%	0.07%	99.93%	0.07%	99.93%	0.07%	
i​	216	216	0	4.53%	0.23%	99.77%	0.23%	99.77%	0.23%	
​	3916	3671	245	73.41%	4.91%	93.73%	6.27%	93.73%	6.27%	
​​​​​​​​​​​​​​​​​​​​	1336	1336	0	26.74%	0.04%	99.96%	0.04%	99.96%	0.04%	
​​​​	398	398	0	8.07%	0.13%	99.87%	0.13%	99.87%	0.13%	
​c​	184	184	0	3.93%	0.27%	99.73%	0.27%	99.73%	0.27%	
​​​​​​​​​​​	32	32	0	2.14%	1.52%	98.48%	1.52%	98.48%	1.52%	
​​​​​​​​​​​​​h​​	15	15	0	3.41%	3.13%	96.88%	3.13%	96.88%	3.13%	
​​	184	184	0	3.93%	0.27%	99.73%	0.27%	99.73%	0.27%	
​​ϲ​​	1	1	0	25.01%	25.00%	75.00%	25.00%	75.00%	25.00%	
​​ō	3	3	0	12.55%	12.50%	87.50%	12.50%	87.50%	12.50%	
​​​ɱ	4	4	0	10.06%	10.00%	90.00%	10.00%	90.00%	10.00%	
​​​​​	59	59	0	1.99%	0.83%	99.17%	0.83%	99.17%	0.83%	
nice	455	397	58	8.03%	1.27%	87.17%	12.83%	87.17%	12.83%	
place	1561	1465	96	29.31%	1.95%	93.82%	6.18%	93.82%	6.18%	
meet	1322	1308	14	26.18%	0.32%	98.90%	1.10%	98.90%	1.10%	
mature	2048	2045	3	40.90%	0.08%	99.83%	0.17%	99.83%	0.17%	
men	3941	3871	70	77.41%	1.41%	98.21%	1.79%	98.21%	1.79%	
classy	1209	1207	2	24.16%	0.08%	99.79%	0.21%	99.79%	0.21%	
sophisticated	381	381	0	7.73%	0.13%	99.87%	0.13%	99.87%	0.13%	
women	3838	3780	58	75.59%	1.17%	98.48%	1.52%	98.48%	1.52%	
u	629	489	140	9.84%	2.87%	77.70%	22.30%	77.70%	22.30%	
single	1300	1280	20	25.62%	0.44%	98.42%	1.58%	98.42%	1.58%	
woman	1718	1672	46	33.45%	0.95%	97.29%	2.71%	97.29%	2.71%	
want	985	709	276	14.22%	5.57%	71.96%	28.04%	71.96%	28.04%	
marry	702	700	2	14.05%	0.11%	99.64%	0.36%	99.64%	0.36%	
kind	809	742	67	14.88%	1.40%	91.67%	8.33%	91.67%	8.33%	
make	1341	997	344	19.96%	6.91%	74.33%	25.67%	74.33%	25.67%	
