chrysler	7	0	7	6.25%	6.30%	6.25%	93.75%	6.25%	93.75%	
products	36	1	35	1.39%	1.65%	11.20%	88.80%	4.05%	95.95%	
including	53	0	53	0.93%	1.39%	0.93%	99.07%	0.93%	99.07%	
every	426	45	381	1.69%	3.50%	31.81%	68.19%	10.66%	89.34%	
jeep	4	0	4	10.00%	10.03%	10.00%	90.00%	10.00%	90.00%	
except	79	1	78	0.66%	1.31%	5.38%	94.62%	1.88%	98.13%	
the	22501	3253	19248	113.98%	171.07%	39.99%	60.01%	14.46%	85.54%	
'original'	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
version	10	0	10	4.55%	4.63%	4.55%	95.45%	4.55%	95.45%	
have	4084	457	3627	16.02%	32.24%	33.19%	66.81%	11.20%	88.80%	
earned	39	0	39	1.25%	1.59%	1.25%	98.75%	1.25%	98.75%	
their	2422	715	1707	25.06%	15.19%	62.28%	37.72%	29.53%	70.47%	
reputation	18	0	18	2.63%	2.78%	2.63%	97.37%	2.63%	97.37%	
as	2563	332	2231	11.65%	19.84%	36.98%	63.02%	12.97%	87.03%	
rolling	13	2	11	3.64%	3.66%	42.34%	57.66%	17.86%	82.14%	
problems	112	5	107	0.62%	1.39%	15.86%	84.14%	4.87%	95.13%	
	14105	2854	11251	100.00%	100.00%	50.00%	50.00%	20.24%	79.76%	
amazing	67	0	67	0.74%	1.32%	0.74%	99.26%	0.74%	99.26%	
that	7148	790	6358	27.68%	56.51%	32.88%	67.12%	11.06%	88.94%	
land	65	4	61	0.90%	1.29%	20.99%	79.01%	6.82%	93.18%	
rover's	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
need	672	61	611	2.21%	5.50%	28.27%	71.73%	9.14%	90.86%	
for	7230	2699	4531	94.56%	40.27%	70.13%	29.87%	37.33%	62.67%	
constant	16	0	16	2.94%	3.08%	2.94%	97.06%	2.94%	97.06%	
repairs	12	0	12	3.85%	3.94%	3.85%	96.15%	3.85%	96.15%	
didn't	440	5	435	0.29%	3.97%	4.44%	95.56%	1.25%	98.75%	
keep	374	44	330	1.67%	3.06%	34.49%	65.51%	11.87%	88.13%	
it	6662	1600	5062	56.06%	44.99%	55.48%	44.52%	24.02%	75.98%	
from	1349	125	1224	4.41%	10.91%	28.72%	71.28%	9.30%	90.70%	
your	3813	1311	2502	45.94%	22.25%	67.38%	32.62%	34.39%	65.61%	
great	542	258	284	9.12%	2.61%	78.12%	21.88%	47.61%	52.39%	
list	69	2	67	0.78%	1.30%	11.09%	88.91%	3.57%	96.43%	
also	550	147	403	5.23%	3.67%	58.97%	41.03%	26.77%	73.23%	
new	609	279	330	9.84%	3.01%	76.88%	23.12%	45.82%	54.18%	
or	2994	856	2138	30.00%	19.01%	61.21%	38.79%	28.60%	71.40%	
used	181	5	176	0.45%	1.83%	10.29%	89.71%	3.02%	96.98%	
volkwagens	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
are	6479	2095	4384	73.40%	38.97%	65.32%	34.68%	32.34%	67.66%	
notoriously	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
unreliable	3	0	3	12.50%	12.52%	12.50%	87.50%	12.50%	87.50%	
money	765	44	721	1.60%	6.47%	19.43%	80.57%	5.81%	94.19%	
pits	2	0	2	16.67%	16.68%	16.67%	83.33%	16.67%	83.33%	
was	2564	73	2491	2.58%	22.15%	10.37%	89.63%	2.87%	97.13%	
some	1020	28	992	1.03%	8.86%	10.05%	89.95%	2.79%	97.21%	
pretty	156	9	147	0.63%	1.62%	19.64%	80.36%	6.05%	93.95%	
ugly	47	3	44	1.14%	1.42%	21.78%	78.22%	7.29%	92.71%	
dooshbaggery	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
right	701	21	680	0.81%	6.11%	10.91%	89.09%	3.06%	96.94%	
there	1672	298	1374	10.47%	12.23%	46.09%	53.91%	17.84%	82.16%	
so	2671	699	1972	24.50%	17.54%	58.28%	41.72%	26.18%	73.82%	
many	906	351	555	12.34%	4.98%	71.35%	28.65%	38.75%	61.25%	
good	923	76	847	2.71%	7.57%	26.16%	73.84%	8.28%	91.72%	
samaritans	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
out	2185	839	1346	29.41%	11.98%	71.07%	28.93%	38.40%	61.60%	
and	16001	4391	11610	153.85%	103.19%	59.85%	40.15%	27.44%	72.56%	
this	4232	972	3260	34.06%	28.98%	54.03%	45.97%	22.97%	77.03%	
poor	219	2	217	0.30%	2.15%	3.72%	96.28%	1.14%	98.86%	
drunk	306	3	303	0.27%	2.85%	3.91%	96.09%	1.14%	98.86%	
guy	259	22	237	0.96%	2.29%	26.88%	73.12%	8.65%	91.35%	
gets	129	3	126	0.49%	1.50%	8.90%	91.10%	2.69%	97.31%	
bjorn	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
buthole	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
his	1154	81	1073	2.88%	9.57%	22.96%	77.04%	7.06%	92.94%	
rescue	9	0	9	5.00%	5.07%	5.00%	95.00%	5.00%	95.00%	
me	2055	854	1201	29.93%	10.69%	73.69%	26.31%	41.56%	58.44%	
would	1626	84	1542	2.97%	13.73%	17.70%	82.30%	5.19%	94.81%	
be	3095	216	2879	7.58%	25.60%	22.83%	77.17%	6.99%	93.01%	
crank	3	0	3	12.50%	12.52%	12.50%	87.50%	12.50%	87.50%	
toyotas	2	0	2	16.67%	16.68%	16.67%	83.33%	16.67%	83.33%	
last	282	16	266	0.74%	2.53%	19.28%	80.72%	5.83%	94.17%	
she	855	113	742	4.01%	6.65%	37.53%	62.47%	13.26%	86.74%	
wasn't	137	1	136	0.40%	1.56%	3.16%	96.84%	1.09%	98.91%	
wearing	56	0	56	0.88%	1.37%	0.88%	99.12%	0.88%	99.12%	
panty	2	0	2	16.67%	16.68%	16.67%	83.33%	16.67%	83.33%	
hose	2	1	1	16.69%	16.67%	69.84%	30.16%	50.00%	50.00%	
she's	132	25	107	1.25%	1.32%	47.96%	52.04%	19.17%	80.83%	
just	3072	1103	1969	38.65%	17.51%	68.83%	31.17%	35.91%	64.09%	
a	14997	4845	10152	169.75%	90.23%	65.29%	34.71%	32.31%	67.69%	
little	393	49	344	1.84%	3.18%	36.00%	64.00%	12.56%	87.44%	
girl	94	5	89	0.70%	1.31%	18.47%	81.53%	5.79%	94.21%	
tights	45	0	45	1.09%	1.48%	1.09%	98.91%	1.09%	98.91%	
which	346	32	314	1.26%	2.93%	28.72%	71.28%	9.37%	90.63%	
thick	10	0	10	4.55%	4.63%	4.55%	95.45%	4.55%	95.45%	
come	459	163	296	5.81%	2.73%	68.42%	31.58%	35.54%	64.46%	
in	7106	1173	5933	41.10%	52.73%	43.80%	56.20%	16.51%	83.49%	
colorshade	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
under	326	137	189	4.94%	1.83%	74.00%	26.00%	42.05%	57.95%	
rainbow	3	0	3	12.50%	12.52%	12.50%	87.50%	12.50%	87.50%	
to	16572	4499	12073	157.63%	107.30%	59.50%	40.50%	27.15%	72.85%	
match	291	270	21	9.60%	0.36%	97.90%	2.10%	92.64%	7.36%	
with	4043	1308	2735	45.83%	24.32%	65.34%	34.66%	32.36%	67.64%	
an	1806	687	1119	24.09%	9.97%	70.75%	29.25%	38.05%	61.95%	
outfit	2	0	2	16.67%	16.68%	16.67%	83.33%	16.67%	83.33%	
lol	268	13	255	0.64%	2.44%	16.86%	83.14%	5.02%	94.98%	
i	9397	1970	7427	69.02%	66.01%	51.12%	48.88%	20.97%	79.03%	
cannot	125	4	121	0.54%	1.46%	11.83%	88.17%	3.57%	96.43%	
believe	325	11	314	0.54%	2.94%	12.25%	87.75%	3.53%	96.47%	
thatbuthole	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
is	9106	2193	6913	76.84%	61.44%	55.57%	44.43%	24.09%	75.91%	
on	3790	878	2912	30.77%	25.89%	54.31%	45.69%	23.17%	76.83%	
instamod	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
of	9982	1840	8142	64.47%	72.36%	47.12%	52.88%	18.44%	81.56%	
words	108	2	106	0.53%	1.39%	7.32%	92.68%	2.29%	97.71%	
hope	630	376	254	13.23%	2.33%	85.31%	14.69%	59.67%	40.33%	
can	2769	1436	1333	50.32%	11.86%	80.93%	19.07%	51.86%	48.14%	
still	548	35	513	1.32%	4.64%	21.25%	78.75%	6.47%	93.53%	
type	82	0	82	0.60%	1.32%	0.60%	99.40%	0.60%	99.40%	
dang	10	0	10	4.55%	4.63%	4.55%	95.45%	4.55%	95.45%	
get	2170	609	1561	21.35%	13.89%	60.59%	39.41%	28.07%	71.93%	
away	234	8	226	0.49%	2.21%	12.41%	87.59%	3.62%	96.38%	
chysler	1	0	1	25.00%	25.00%	25.00%	75.00%	25.00%	75.00%	
anything	341	14	327	0.64%	3.04%	14.54%	85.46%	4.24%	95.76%	
german	22	0	22	2.17%	2.36%	2.17%	97.83%	2.17%	97.83%	
british	21	0	21	2.27%	2.45%	2.27%	97.73%	2.27%	97.73%	
got	519	31	488	1.18%	4.43%	20.08%	79.92%	6.06%	93.94%	
